City,Country,Place to Visit,Emotion 1,Emotion 2,Emotion 3,Emotion 4,Emotion 5,Lat,Lon,Expense/Day,Description,IMAGE
Paris,France,Eiffel Tower,Happy,Proud,Surprised,Peaceful,In Awe,48.8584,2.2945,120,This is the description of some data.,https://images.unsplash.com/photo-1502602898657-3e91760cbb34?q=80&w=2073&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
New York,USA,Central Park,Serene,Wanderlust,Hopeful,Neutral,Grateful,40.7851,-73.9683,100,"New York City is a vibrant metropolis in the USA, famous for its landmarks like Central Park, Times Square, and the Statue of Liberty.",https://plus.unsplash.com/premium_photo-1675297104981-2c6feb745838?q=80&w=1925&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Tokyo,Japan,Shibuya Crossing,Excited,Confident,Nervous,Adventurous,Curious,35.6595,139.7004,90,"Tokyo, Japan's bustling capital, is known for its mix of traditional temples and cutting-edge technology, with popular areas like Shibuya.",https://images.unsplash.com/photo-1695011046703-90e1f9f3ba85?q=80&w=2073&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Venice,Italy,Grand Canal,Peaceful,Romantic,Happy,Relieved,Inspired,45.4408,12.3155,130,"Venice is a unique Italian city built on canals, famous for its romantic gondola rides, historic architecture, and the Grand Canal.",https://images.unsplash.com/photo-1662911403928-c51b2e6d3a3d?q=80&w=1888&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Rome,Italy,Colosseum,Neutral,Proud,Historic,Excited,Jealous,41.8902,12.4922,110,"Rome, Italy's capital, is rich in history, with iconic landmarks like the Colosseum, the Vatican, and ancient ruins.",https://plus.unsplash.com/premium_photo-1661963952208-2db3512ef3de?q=80&w=1888&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Kyoto,Japan,Fushimi Inari Shrine,Curious,Peaceful,Nostalgic,Hopeful,Culturally Connected,34.9671,135.7727,85,"Kyoto, Japan's cultural capital, is renowned for its classical Buddhist temples, gardens, imperial palaces, and traditional wooden houses.",https://images.unsplash.com/photo-1542767673-ee5103fedbb1?q=80&w=1780&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Cape Town,South Africa,Table Mountain,Hopeful,Adventurous,Proud,Confident,Wanderlust,-33.9628,18.4098,70,"Cape Town, South Africa, is known for its stunning Table Mountain, vibrant cultural scene, and beautiful beaches.",https://images.unsplash.com/photo-1721155227599-bfb5e8913fc4?q=80&w=1931&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Rio de Janeiro,Brazil,Christ the Redeemer,In Awe,Grateful,Proud,Happy,Thrilled,-22.9519,-43.2105,80,"Rio de Janeiro, Brazil, is famous for its Copacabana beach, Sugarloaf Mountain, and the annual Carnival festival.",https://images.unsplash.com/photo-1655642272518-05aaf7b8726e?q=80&w=1933&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Santorini,Greece,Oia Sunset,Fearful,Happy,Romantic,Surprised,Serene,36.4618,25.3758,150,"Santorini, a Greek island, is known for its whitewashed buildings with blue domes, stunning sunsets, and volcanic beaches.",https://images.unsplash.com/photo-1612277288801-0d783ca59c42?q=80&w=2069&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
New Delhi,India,India Gate,Jealous,Hopeful,Confident,Neutral,Proud,28.6129,77.2295,60,"New Delhi, India’s capital, combines historic sites like the Red Fort with bustling markets and modern infrastructure.",https://images.unsplash.com/photo-1705861146215-893c716481e7?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Sydney,Australia,Sydney Opera House,Surprised,Grateful,Confident,Proud,Excited,-33.8568,151.2153,140,"Sydney, Australia, is known for its Opera House, Harbour Bridge, beautiful beaches, and vibrant culture.",
Cairo,Egypt,Pyramids of Giza,Disgusted,Neutral,Jealous,Fearful,Historic,29.9792,31.1342,40,"Cairo, the capital of Egypt, is home to the ancient pyramids, the Sphinx, and a rich Islamic heritage.",
Berlin,Germany,Brandenburg Gate,Neutral,Confident,Hopeful,Culturally Connected,Peaceful,52.5163,13.3777,95,"Berlin, Germany’s capital, is famous for its history, vibrant arts scene, Berlin Wall, and Brandenburg Gate.",
Machu Picchu,Peru,Machu Picchu,Sad,Neutral,Proud,In Awe,Adventurous,-13.1631,-72.545,70,"Machu Picchu, an ancient Incan city in Peru, is renowned for its breathtaking views and historical significance.",
Bangkok,Thailand,Wat Arun,Nervous,Excited,Hopeful,Happy,Curious,13.7436,100.4889,45,"Bangkok, Thailand's capital, is known for its vibrant street life, ornate temples, and grand palaces.",
Barcelona,Spain,Park Güell,Angry,Excited,Hopeful,Happy,Proud,41.4145,2.1527,105,"Barcelona, Spain, is famous for its architecture by Antoni Gaudí, including the Sagrada Família, and its Mediterranean beaches.",
Dubai,UAE,Burj Khalifa,Relieved,Proud,Confident,In Awe,Thrilled,25.1972,55.2744,200,"Dubai, UAE, is known for its ultramodern skyscrapers, luxury shopping, and attractions like the Burj Khalifa.",
Bora Bora,French Polynesia,Matira Beach,Bored,Peaceful,Serene,Romantic,Happy,-16.5004,-151.7415,250,"Bora Bora, a tropical paradise in French Polynesia, is known for its turquoise waters, coral reefs, and overwater bungalows.",
Agra,India,Taj Mahal,Proud,Peaceful,Grateful,In Awe,Excited,27.1751,78.0421,50,"Agra, India, is home to the Taj Mahal, one of the Seven Wonders of the World, and a UNESCO World Heritage site.",
Jaipur,India,Hawa Mahal,Excited,Hopeful,Happy,Proud,Curious,26.9239,75.8267,40,"Jaipur, India’s Pink City, is known for its historic forts, palaces, and vibrant bazaars.",
Mumbai,India,Marine Drive,Happy,Peaceful,Hopeful,Nostalgic,Excited,18.9439,72.8234,60,"Mumbai, India’s financial capital, is famous for Bollywood, bustling markets, and the iconic Gateway of India.",
Bangalore,India,Lalbagh Botanical Garden,Peaceful,Hopeful,Serene,Inspired,Grateful,12.9507,77.5848,45,"Bangalore, India’s Silicon Valley, is known for its IT industry, pleasant weather, and vibrant nightlife.",
Chennai,India,Marina Beach,Peaceful,Happy,In Awe,Nostalgic,Excited,13.0474,80.2822,30,"Chennai, India, is known for its cultural heritage, temples, and the Marina Beach, one of the longest urban beaches.",
Hyderabad,India,Charminar,Neutral,Hopeful,Proud,Jealous,Culturally Connected,17.3616,78.4747,35,"Hyderabad, India, is famous for its rich history, Charminar monument, and biryani cuisine.",
Varanasi,India,Ghats of Varanasi,Hopeful,Historic,Proud,Peaceful,Confident,25.3086,83.0092,25,"Varanasi, India’s spiritual city, is known for its ghats along the Ganges River and sacred Hindu rituals.",
Kolkata,India,Victoria Memorial,Neutral,Serene,Happy,Proud,Grateful,22.5448,88.3426,50,"Kolkata, India, is known for its colonial architecture, cultural festivals, and historic Howrah Bridge.",
Pune,India,Aga Khan Palace,Hopeful,Peaceful,Happy,Neutral,Inspired,18.5522,73.9013,40,"Pune, India, is famous for its educational institutions, pleasant weather, and rich Maratha history.",
Amritsar,India,Golden Temple,Relieved,Hopeful,Proud,Peaceful,Culturally Connected,31.6199,74.8765,55,"Amritsar, India, is home to the Golden Temple, a spiritual site for Sikhs and known for its cultural heritage.",
Goa,India,Baga Beach,Excited,Happy,Peaceful,Restless,Hopeful,15.5527,73.7557,70,"Goa, India’s beach paradise, is famous for its golden sand beaches, nightlife, and Portuguese-influenced architecture.",
Shimla,India,The Ridge,Proud,Peaceful,Hopeful,Happy,Serene,31.1048,77.1734,60,"Shimla, India, is a scenic hill station known for its colonial architecture, cool climate, and views of the Himalayas.",
Rishikesh,India,Lakshman Jhula,Excited,Hopeful,Nervous,Peaceful,Confident,30.1267,78.325,35,"Rishikesh, India, is a yoga and adventure capital located on the banks of the Ganges River in the Himalayas.",
Darjeeling,India,Tiger Hill,Hopeful,Happy,Peaceful,Surprised,In Awe,27.0327,88.2636,45,"Darjeeling, India, is known for its tea gardens, scenic Himalayan views, and the UNESCO-listed toy train.",
Mysore,India,Mysore Palace,Confident,Proud,Happy,Neutral,Hopeful,12.3052,76.6551,35,"Mysore, India, is known for its royal heritage, magnificent palaces, and the famous Dussehra festival.",
Jodhpur,India,Mehrangarh Fort,Jealous,Proud,Neutral,Happy,Inspired,26.2978,73.0185,40,"Jodhpur, India’s Blue City, is famous for its blue houses, Mehrangarh Fort, and vibrant markets.",
Kochi,India,Fort Kochi,Peaceful,Inspired,Happy,Hopeful,Excited,9.9657,76.2429,30,"Kochi, India, is a port city known for its backwaters, historical sites, and blend of various cultures.",
Udaipur,India,City Palace,Surprised,Proud,Hopeful,Happy,Historic,24.5761,73.6835,50,"Udaipur, India’s City of Lakes, is known for its palaces, romantic boat rides, and stunning sunsets.",
Bhopal,India,Sanchi Stupa,Neutral,Serene,Hopeful,Proud,Happy,23.4794,77.7397,30,"Bhopal, India, is known for its lakes, mosques, and the tragic legacy of the Bhopal gas disaster.",
Ahmedabad,India,Sabarmati Ashram,Peaceful,Hopeful,Nostalgic,Happy,Neutral,23.0314,72.58,40,"Ahmedabad, India, is a vibrant city with rich heritage sites and is home to Mahatma Gandhi's Sabarmati Ashram.",
Leh,India,Pangong Lake,Excited,Hopeful,Proud,Happy,Adventurous,33.7225,78.4744,100,"Leh, India, is a high-altitude town in Ladakh, known for its Buddhist monasteries and stunning landscapes.",
Chandigarh,India,Rock Garden,Nervous,Excited,Hopeful,Peaceful,Curious,30.7525,76.8101,40,"Chandigarh, India, is a modern, planned city known for its architecture and urban design by Le Corbusier.",
Shillong,India,Elephant Falls,Happy,Excited,Peaceful,Hopeful,Surprised,25.5379,91.8702,20,"Shillong, India, is known as the Scotland of the East, famous for its waterfalls, mountains, and music scene.",
Manali,India,Solang Valley,Excited,Hopeful,Adventurous,Peaceful,Confident,32.3198,77.1574,50,"Manali, India, is a popular hill station known for its adventure activities and scenic beauty in the Himalayas.",
Ooty,India,Doddabetta Peak,Peaceful,Hopeful,In Awe,Happy,Excited,11.407,76.7337,30,"Ooty, India, is a hill station known for its cool climate, beautiful tea gardens, and the Nilgiri Mountain Railway.",
Paris,France,Louvre Museum,Neutral,Proud,Jealous,Happy,Historic,48.8606,2.3376,150,"Paris, the capital of France, is known for its iconic Eiffel Tower, rich art, fashion, and culture, and is often called the City of Lights.",
London,UK,Tower Bridge,Proud,Happy,Hopeful,Neutral,Excited,51.5055,-0.0754,180,"London, UK, is known for its rich history, landmarks like Big Ben, the British Museum, and vibrant cultural scene.",
Istanbul,Turkey,Hagia Sophia,Relieved,Neutral,Proud,Excited,Jealous,41.0086,28.9802,60,"Istanbul, Turkey, is famous for its blend of European and Asian cultures, historic sites like Hagia Sophia, and the Bosphorus.",
Moscow,Russia,Red Square,Jealous,Neutral,Excited,Proud,Hopeful,55.7539,37.6208,80,"Moscow, Russia’s capital, is known for its iconic Red Square, Kremlin, and beautiful metro stations.",
Helsinki,Finland,Suomenlinna,Surprised,Serene,Hopeful,Happy,Culturally Connected,60.1505,24.9871,90,"Helsinki, Finland’s capital, is known for its modern architecture, design scene, and stunning waterfront.",
Toronto,Canada,CN Tower,Excited,Proud,Hopeful,Happy,Confident,43.6426,-79.3871,160,"Toronto, Canada, is a multicultural city known for the CN Tower, waterfront, and vibrant arts and food scenes.",
Prague,Czech Republic,Charles Bridge,Peaceful,Neutral,Hopeful,Proud,Historic,50.0865,14.4122,85,"Prague, Czech Republic, is famous for its medieval architecture, Charles Bridge, and historic Old Town Square.",
Zurich,Switzerland,Lake Zurich,Peaceful,Inspired,Hopeful,Happy,Proud,47.3667,8.5417,220,"Zurich, Switzerland, is known for its banking sector, beautiful lakeside views, and charming Old Town.",
